variables,units,values,description
rotorse.rp.aep.P,W,"[ 527819.29887653  569013.20881085  613569.07237143  661299.70032097
  712017.90342221  765536.49243787  821668.27813066  880226.07126332
  941022.68259856 1003870.92289911 1068583.60292769 1134973.53344703
 1203259.86012788 1275700.9728046  1352397.1267416  1433015.22752516
 1517222.18074153 1604684.89197699 1695070.26681781 1788045.21085025
 1883276.62966059 1980480.24986454 2081728.24348193 2187885.50662695
 2298428.36964983 2412833.16290083 2530576.21673016 2651133.86148807
 2774027.75441108 2901514.72081686 3034300.43946995 3171280.93149378
 3311352.21801174 3454412.98316176 3603259.54974882 3755561.21795193
 3913024.48356656 4073641.24144043 4238693.54772857 4443280.20327254
 4673672.42547449 4874385.59084867 4989935.07590933 4999996.67049974
 4999995.47313161 4999995.86081292 4999996.4858787  4999997.25590954
 4999998.07848607 4999998.86118889 4999999.51159862 4999999.93729586
 5000000.17303918 5000000.39438029 5000000.60168544 5000000.79201195
 5000000.96241715 5000001.10995836 5000001.2316929  5000001.32467811
 5000001.38597129 5000001.41262979 5000001.39743488 5000001.33433635
 5000001.23198682 5000001.09947903 5000000.94590566 5000000.78035943
 5000000.61193306 5000000.44971923 5000000.30281067 5000000.18030008
 5000000.09128017 5000000.04484364 5000000.05832658 5000000.16609556
 5000000.35762029 5000000.61759886 5000000.93072934 5000001.28170983
 5000001.6552384  5000002.03601313 5000002.4087321  5000002.7580934
 5000003.06879512 5000003.32553532 5000003.51301209 5000003.61592353
 5000003.62708574 5000003.59395144 5000003.52978704 5000003.43807856
 5000003.322312   5000003.18597337 5000003.03254871 5000002.86552401
 5000002.6883853  5000002.5046186  5000002.3177099  5000002.13114524
 5000001.94841063 5000001.77299207 5000001.6083756  5000001.45804721
 5000001.31885475 5000001.16955522 5000001.01044382 5000000.84403244
 5000000.67283294 5000000.4993572  5000000.32611709 5000000.15562449
 4999999.99039127 4999999.8329293  4999999.68575045 4999999.55136661
 4999999.43228964 4999999.33103142 4999999.25010382 4999999.19201871
 4999999.15928797 4999999.15556399 4999999.19652601 4999999.28344816
 4999999.41245162 4999999.57965759 4999999.78118725 5000000.01316181
 5000000.27170245 5000000.55293036 5000000.85296674 5000001.16793278
 5000001.49394968 5000001.82713862 5000002.1636208  5000002.4995174
 5000002.83094963 5000003.15403867 5000003.46490572 5000003.75967197
 5000004.0553425  5000004.38648286 5000004.74830489 5000005.13507804
 5000005.54107179 5000005.96055561 5000006.38779897 5000006.81707134
 5000007.24264219 5000007.658781   5000008.05975723 5000008.43984035
 5000008.79329984 5000009.11440516 5000009.39742579 5000009.6366312
 5000009.82629085 5000009.96067422 5000010.03405079 5000010.04510031
 5000010.03089925 5000010.00215974 5000009.96022254 5000009.90642841
 5000009.84211813 5000009.76863244 5000009.68731214 5000009.59949797
 5000009.50653071 5000009.40975112 5000009.31049997 5000009.21011803
 5000009.10994606 5000009.01132483 5000008.9155951  5000008.82409764
 5000008.73817322 5000008.65916261 5000008.58840657 5000008.5266158
 5000008.46752229 5000008.40921152 5000008.35172097 5000008.29508813
 5000008.23935049 5000008.18454554 5000008.13071077 5000008.07788366
 5000008.0261017  5000007.97540238 5000007.92582319 5000007.87740162
 5000007.83017514 5000007.78418126 5000007.73945746 5000007.69604122
 5000007.65397004 5000007.6132814  5000007.5740128  5000007.53620171]",power curve (power)
rotorse.rp.aep.lossFactor,,[1.],"multiplicative factor for availability and other losses (soiling, array, etc.)"
rotorse.s,,"[0.         0.03448276 0.06896552 0.10344828 0.13793103 0.17241379
 0.20689655 0.24137931 0.27586207 0.31034483 0.34482759 0.37931034
 0.4137931  0.44827586 0.5        0.51724138 0.55172414 0.5862069
 0.62068966 0.65517241 0.68965517 0.72413793 0.75862069 0.79310345
 0.82758621 0.86206897 0.89655172 0.93103448 0.95       1.        ]","1D array of the non-dimensional spanwise grid defined along blade axis (0-blade root, 1-blade tip)"
rotorse.stall_check.aoa_along_span,deg,"[47.89700352 38.0768073  25.7028024  18.26937897 12.91908229 10.47138002
 10.87852929  9.06158564  7.98356859  6.76650209  5.67538258  4.83039396
  4.17173558  3.75260101  3.58676922  3.62967397  3.74435192  3.84046582
  3.91656209  4.01731206  4.24851996  4.57530361  5.12534348  5.84453191
  6.61829118  7.3383129   7.95371409  8.48951158  8.74456761  9.01175481]",Angle of attack along blade span
rotorse.stall_check.stall_margin,deg,[2.99828814],Minimum margin from the stall angle
rotorse.stall_check.min_s,,[0.25],Minimum nondimensional coordinate along blade span where to define the constraint (blade root typically stalls)
rotorse.rs.aero_gust.V_load,m/s,[18.18002515],
rotorse.rs.Omega_load,rpm,[7.89380484],
rotorse.rs.pitch_load,deg,[2.92395773e-18],
rotorse.rs.aero_gust.azimuth_load,deg,[0.],
rotorse.rs.tot_loads_gust.aeroloads_Px,N/m,"[  375.24988821   454.40571593   693.15017974  1116.16949561
  1680.67300254  2203.62536439  2287.53136374  3244.79673698
  3885.01778601  4732.9084459   5798.61434013  7098.03042962
  8647.47810643 10125.3153886  11457.5061535  11742.64162893
 12235.8211919  12585.75707375 12786.17174795 12947.3677491
 12854.3726228  12715.11385146 12440.99614964 11867.97682993
 10949.8429343   9907.38145254  8857.53621538  7609.35789975
  6838.00802917  4255.87071333]",distributed loads in blade-aligned x-direction
rotorse.rs.tot_loads_gust.aeroloads_Py,N/m,"[   67.85256747   113.99523341   -66.47701278  -482.39916065
  -994.74276927 -1311.59613596 -1070.33688752 -1502.47554592
 -1660.0354294  -2011.28899868 -2462.29015892 -2977.9515724
 -3523.45434556 -3960.05936675 -4136.27221543 -4129.03563843
 -4090.22064235 -4016.94335116 -3910.24840688 -3799.27111892
 -3628.01174116 -3452.06343568 -3239.52738867 -2952.8838464
 -2577.36301534 -2206.73947143 -1884.74996169 -1555.47344588
 -1370.06440596  -813.74835343]",distributed loads in blade-aligned y-direction
rotorse.rs.tot_loads_gust.aeroloads_Pz,N/m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",distributed loads in blade-aligned z-direction
rotorse.rs.tot_loads_gust.aeroloads_Omega,rpm,[7.89380484],rotor rotation speed
rotorse.rs.tot_loads_gust.aeroloads_pitch,deg,[2.92395773e-18],pitch angle
rotorse.rs.tot_loads_gust.aeroloads_azimuth,deg,[0.],azimuthal angle
rotorse.rs.3d_curv,deg,"[1.75716181 1.5653945  1.22147861 0.98455368 0.89330776 0.95287445
 1.15522734 1.5028796  1.9589278  2.37710146 2.67181557 2.86244204
 3.05166287 3.51104622 3.99670968 4.27221987 4.5232273  4.91567457
 5.4176562  5.8175349  6.03734252 6.30743908 6.71486255 7.03815076
 7.30558126 7.58053895 7.89741603 8.24588185 8.50957547 8.59927983]",total cone angle from precone and curvature
rotorse.rs.z_az,m,"[  3.           6.44228387   9.88456774  13.32685161  16.76913548
  20.21141935  23.65370322  27.09598709  30.53827096  33.98055483
  37.4228387   40.86512257  44.30740645  47.74969032  52.91311612
  54.63425806  58.07654193  61.5188258   64.96110967  68.40339354
  71.84567741  75.28796128  78.73024515  82.17252902  85.61481289
  89.05709676  92.49938063  95.9416645   97.83492063 102.82623224]",location of blade in azimuth z-coordinate system
rotorse.rhoA,kg/m,"[2266.13610201 1858.30111809 1560.06645716 1299.85406619 1001.87824876
  816.63840464  695.96678768  608.20368324  544.60978033  500.76647216
  472.03298432  450.19691479  432.24320936  409.21977234  376.83640085
  347.04287825  314.02672281  277.20220785  241.50886974  209.37995834
  638.9051686   150.87705908  124.659299    101.88440269   79.52988358
   61.87548205   47.30555123   33.97308932   24.39934959   10.13257764]",mass per unit length
rotorse.rs.tot_loads_gust.dynamicFactor,,[1.],a dynamic amplification factor to adjust the static deflection calculation
rotorse.rs.x_az,m,"[ 0.          0.01458961  0.05222308  0.10814189  0.1742505   0.24113677
  0.30008558  0.34265121  0.35982107  0.34758647  0.3145081   0.26685814
  0.21087049  0.1404773  -0.02635293 -0.09075292 -0.23512381 -0.39413733
 -0.58577711 -0.80529181 -1.0451699  -1.29121723 -1.5637297  -1.85903588
 -2.17067421 -2.49837779 -2.84335536 -3.20952152 -3.42254912 -4.        ]",location of blade in azimuth x-coordinate system (prebend)
rotorse.rs.y_az,m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",location of blade in azimuth y-coordinate system (sweep)
rotorse.rs.frame.Px_af,N/m,"[ 1280.47914528  1338.85796872  1604.54390839  2046.46530095
  2561.4016319   3025.45077322  2985.68480467  3945.92923057
  4593.44849645  5509.39062177  6658.96646939  8043.93885587
  9686.51469111 11278.33918281 12685.14221003 12952.28952873
 13415.73229671 13735.75839613 13907.77809809 14016.2953181
 16041.64989764 13585.89623961 13197.96222488 12494.58546204
 11431.17749845 10274.02609491  9129.77911104  7792.68545816
  6951.53405078  4273.46892963]",distributed load (force per unit length) in airfoil x-direction
rotorse.rs.frame.Py_af,N/m,"[  538.31390742   573.33458573   428.24471259    72.44413084
  -388.51889844  -708.36006445  -609.24754506 -1061.64952392
 -1257.24484672 -1536.23262792 -1887.78759616 -2283.33011448
 -2686.21257268 -2996.93314165 -3184.22129051 -3219.48469783
 -3276.84687707 -3289.27835082 -3262.62844333 -3236.15188316
 -3100.65116674 -3132.84573015 -3112.14668807 -3042.24679582
 -2853.24328193 -2602.44262523 -2349.17648365 -2041.77088986
 -1845.23286268 -1166.22247245]",distributed load (force per unit length) in airfoil y-direction
rotorse.rs.frame.Pz_af,N/m,"[-17562.08789861 -10029.1030924   -4745.60071605   -893.60951594
   1668.65811487   3280.17402549   4430.34120811   5298.72712038
   6020.87341755   6709.03347172   7430.09462329   8141.85394112
   8830.13471967   9314.47341034   9896.7856229    9517.03726619
   9344.14019557   8892.069131     8305.05637209   7684.22535837
  24931.24423191   6236.75456916   5439.42313705   4680.08408356
   3836.37574577   3126.95665946   2498.88729617   1872.00391443
   1374.69621317    604.91009551]",distributed load (force per unit length) in airfoil z-direction
rotorse.A,m**2,"[14.13552133 14.14893128 13.76254696 20.11054457 18.00209511 16.37751962
 15.4494559  14.67945414 14.14833401 13.85178084 13.63693769 13.33828537
 13.04623931 12.51634406 11.57131987 11.17772872 10.4268113   9.69404124
  8.96545528  8.23848087  7.51662253  6.80025811  6.096058    5.39472631
  4.68818573  3.97761676  3.26755193  2.55396763  2.15890627  1.03859805]",airfoil cross section material area
rotorse.EA,N,"[3.27488196e+10 2.92692963e+10 2.65426350e+10 2.29210546e+10
 1.99481441e+10 1.84591261e+10 1.77637451e+10 1.72690632e+10
 1.67574356e+10 1.61822882e+10 1.55815127e+10 1.49119299e+10
 1.41798532e+10 1.33388229e+10 1.24144560e+10 1.14987115e+10
 1.05911297e+10 9.60562966e+09 8.65710045e+09 7.78064072e+09
 1.14979980e+10 6.13513334e+09 5.36630165e+09 4.62452566e+09
 3.75696680e+09 3.00266792e+09 2.33375148e+09 1.72291066e+09
 1.15678155e+09 4.98884222e+08]",axial stiffness
rotorse.EIxx,N*m**2,"[7.98178777e+10 7.04244886e+10 6.39156662e+10 5.10973607e+10
 3.93367296e+10 3.19899325e+10 2.75460365e+10 2.44750599e+10
 2.24622519e+10 2.11788391e+10 2.03053898e+10 1.93839289e+10
 1.83711682e+10 1.67938448e+10 1.39539106e+10 1.17135673e+10
 9.38905359e+09 7.10260426e+09 5.22132113e+09 3.76085033e+09
 3.61837822e+09 1.83286331e+09 1.24383627e+09 8.23715501e+08
 4.97031438e+08 2.93618932e+08 1.64308766e+08 8.34826254e+07
 4.12088281e+07 5.96241152e+06]",edgewise stiffness (bending about :ref:`x-axis of airfoil aligned coordinate system <blade_airfoil_coord>`)
rotorse.EIyy,N*m**2,"[7.98160892e+10 7.33959222e+10 5.81399410e+10 4.00367558e+10
 2.70099404e+10 1.91997478e+10 1.49863157e+10 1.15931391e+10
 9.33060945e+09 8.10115336e+09 7.17925744e+09 6.28862581e+09
 5.49771351e+09 4.60742643e+09 3.42601983e+09 2.91056856e+09
 2.23610168e+09 1.70248106e+09 1.27653112e+09 9.39385289e+08
 1.01230550e+09 4.65828828e+08 3.09705781e+08 1.94181680e+08
 1.10159978e+08 5.77396501e+07 2.73058116e+07 1.08324472e+07
 4.80595101e+06 4.74261815e+05]",flapwise stiffness (bending about y-axis of airfoil aligned coordinate system)
rotorse.EIxy,N*m**2,"[ 1.62026992e+06  6.89011144e+09  1.11683408e+10  1.23468278e+10
  1.21808898e+10  9.68530143e+09  6.98404846e+09  4.74449940e+09
  3.51469758e+09  3.28609577e+09  3.15055958e+09  2.97119620e+09
  2.76847654e+09  2.42782724e+09  1.72883230e+09  1.36336472e+09
  9.37665580e+08  6.15677268e+08  3.92779580e+08  2.39800419e+08
  1.96471105e+08  6.49180792e+07  1.72438110e+07 -9.55771202e+06
 -1.73819441e+07 -1.53526159e+07 -1.05963768e+07 -6.14654356e+06
 -3.57365926e+06 -6.14399368e+05]",coupled flap-edge stiffness
rotorse.GJ,N*m**2,"[4.67030345e+10 3.82905177e+10 5.75565600e+10 4.58498132e+10
 3.00770411e+10 2.00828055e+10 1.41613825e+10 9.92440420e+09
 7.37224626e+09 6.35652471e+09 5.68375384e+09 4.99246348e+09
 4.40340994e+09 3.54041463e+09 2.34638560e+09 1.88321795e+09
 1.25999451e+09 8.55339830e+08 5.68687921e+08 3.68090998e+08
 2.83155764e+08 1.31696873e+08 6.94466291e+07 3.38759305e+07
 1.77714384e+07 8.95583321e+06 4.30451143e+06 1.72546848e+06
 9.48486211e+05 9.77433298e+04]",torsional stiffness (about axial z-direction of airfoil aligned coordinate system)
rotorse.rhoJ,kg*m,"[1.10488682e+04 9.13679395e+03 7.18272090e+03 4.99106430e+03
 3.27678170e+03 2.35638112e+03 1.86110188e+03 1.52825740e+03
 1.31528903e+03 1.18810408e+03 1.10952577e+03 1.03617486e+03
 9.71508458e+02 8.67045167e+02 7.00302820e+02 5.94245826e+02
 4.71392856e+02 3.59430527e+02 2.66541007e+02 1.92981203e+02
 2.32402305e+02 9.27850146e+01 6.13420216e+01 3.89539455e+01
 2.27979821e+01 1.28139890e+01 6.69472356e+00 3.00668295e+00
 1.55129646e+00 1.86939899e-01]",polar mass moment of inertia per unit length
rotorse.x_ec,m,"[ 2.77555756e-17  7.28583860e-17 -2.91433544e-16 -2.60405657e-03
 -2.36252188e-03 -1.87643976e-03 -1.42673420e-03 -9.70217948e-04
 -6.77049160e-04 -5.25932923e-04 -4.19255855e-04 -3.59257497e-04
 -3.22537086e-04 -3.42528995e-04 -3.22565352e-04 -3.00479545e-04
 -2.80717328e-04 -2.55293713e-04 -2.36834540e-04 -2.20409421e-04
 -9.35293886e-05 -1.88040221e-04 -1.70966279e-04 -1.61938453e-04
 -1.46044619e-04 -1.31510671e-04 -1.17310326e-04 -1.00725751e-04
 -1.28866418e-04  8.67361738e-19]",x-distance to elastic center from point about which above structural properties are computed (airfoil aligned coordinate system)
rotorse.y_ec,m,"[-5.36951126e-17  4.33680869e-18  1.94289029e-16  3.50707683e-03
  8.01857444e-04 -1.40174069e-03 -2.53035835e-03 -3.07672260e-03
 -3.19808396e-03 -3.05420314e-03 -2.98848366e-03 -3.00130744e-03
 -3.01387386e-03 -3.05827844e-03 -2.87126170e-03 -2.56056205e-03
 -2.28755197e-03 -1.89221144e-03 -1.53123457e-03 -1.23401812e-03
 -6.95287639e-04 -8.00523824e-04 -6.49489063e-04 -5.26416169e-04
 -4.20577063e-04 -3.38188884e-04 -2.86853769e-04 -2.75300678e-04
 -4.09562056e-04 -1.73472348e-17]",y-distance to elastic center from point about which above structural properties are computed
rotorse.rs.strains.EI11,N*m**2,"[7.98151328e+10 6.48617311e+10 4.94921377e+10 3.20378754e+10
 1.95217881e+10 1.39886914e+10 1.18739663e+10 1.00343341e+10
 8.44907469e+09 7.32187486e+09 6.46222210e+09 5.64602251e+09
 4.92759148e+09 4.14155387e+09 3.14938901e+09 2.70425274e+09
 2.11522763e+09 1.63317608e+09 1.23780253e+09 9.19149331e+08
 9.97576820e+08 4.62752765e+08 3.09387437e+08 1.94036473e+08
 1.09380484e+08 5.67445255e+07 2.64910438e+07 1.03160647e+07
 4.45841073e+06 4.06320775e+05]",stiffness w.r.t principal axis 1
rotorse.rs.strains.EI22,N*m**2,"[7.98188341e+10 7.89586797e+10 7.25634695e+10 5.90958038e+10
 4.68247577e+10 3.72008876e+10 3.06582360e+10 2.60336852e+10
 2.33436076e+10 2.19579622e+10 2.10222832e+10 2.00263960e+10
 1.89411599e+10 1.72595911e+10 1.42304378e+10 1.19198067e+10
 9.50987138e+09 7.17187422e+09 5.26002894e+09 3.78107406e+09
 3.63310124e+09 1.83593523e+09 1.24415219e+09 8.23859306e+08
 4.97810187e+08 2.94613662e+08 1.65123310e+08 8.39988598e+07
 4.15561551e+07 6.03035256e+06]",stiffness w.r.t principal axis 2
rotorse.rs.strains.alpha,deg,"[30.55251326 51.08419682 37.75112207 32.93619371 31.58049227 28.28174401
 24.01946248 18.18794152 14.08014283 13.34094645 12.82157085 12.20385948
 11.6364718  10.8623991   9.09086494  8.60520116  7.345466    6.42257109
  5.63121225  4.82352428  4.28721131  2.71270816  1.05715123 -0.86964657
 -2.56741351 -3.70838018 -4.39668303 -4.80204862 -5.55417869 -6.31020049]",Angle between blade c.s. and principal axes
rotorse.rs.strains.M1,N*m,"[-3.52706506e+07 -3.31302705e+07 -2.97545406e+07 -3.28835375e+07
 -3.23386450e+07 -3.12283708e+07 -3.02515500e+07 -2.89542619e+07
 -2.69838557e+07 -2.45287373e+07 -2.20090037e+07 -1.95767345e+07
 -1.72515889e+07 -1.50517847e+07 -1.20250874e+07 -1.10897117e+07
 -9.32862440e+06 -7.72561942e+06 -6.28675600e+06 -5.01369790e+06
 -3.90958166e+06 -2.95763474e+06 -2.13854995e+06 -1.46984873e+06
 -9.45489487e+05 -5.55142071e+05 -2.82887766e+05 -1.11270993e+05
 -5.21898406e+04  2.35544109e+01]",distribution along blade span of bending moment w.r.t principal axis 1
rotorse.rs.strains.M2,N*m,"[ 3.57615511e+07  3.36730331e+07  3.27788315e+07  2.50293982e+07
  2.07325388e+07  1.69748153e+07  1.24753570e+07  7.68250308e+06
  3.82366897e+06  2.16533855e+06  1.74985480e+06  1.42559405e+06
  1.13625479e+06  8.57769512e+05  4.06457258e+05  8.74192200e+04
 -1.08795944e+05 -2.83302802e+05 -3.53656713e+05 -3.74099294e+05
 -3.58573461e+05 -3.44402769e+05 -3.29819341e+05 -2.93636352e+05
 -2.35123174e+05 -1.61380932e+05 -9.11920500e+04 -3.87161296e+04
 -1.96002206e+04  1.02668721e+00]",distribution along blade span of bending moment w.r.t principal axis 2
rotorse.rs.strains.F3,N,"[ 4.96643853e+05  5.44132196e+05  5.69561552e+05  5.79267430e+05
  5.77933462e+05  5.69415822e+05  5.56144934e+05  5.39399831e+05
  5.19917197e+05  4.98007226e+05  4.73671785e+05  4.46870258e+05
  4.17659065e+05  3.86429626e+05  3.36831682e+05  3.20124719e+05
  2.87661964e+05  2.56274865e+05  2.26676181e+05  1.99156364e+05
  1.43020529e+05  8.93759951e+04  6.92796416e+04  5.18625371e+04
  3.72045048e+04  2.52196254e+04  1.55367525e+04  8.01383058e+03
  4.94041470e+03 -3.27418093e-11]",axial resultant along blade span
rotorse.xu_spar,,"[0.01845476 1.82251322 1.77878595 1.64616877 1.32967563 1.09558414
 0.96970798 0.86786551 0.79785304 0.75654995 0.72868564 0.70082806
 0.67534116 0.63866489 0.57575844 0.55205801 0.50567545 0.46219803
 0.41915185 0.369744   0.34300797 0.28795662 0.2589029  0.22064767
 0.18487197 0.15059335 0.11805387 0.08634026 0.06509052 0.02984337]",x-position of midpoint of spar cap on upper surface for strain calculation
rotorse.xl_spar,,"[ 0.01845476 -1.79569834 -1.86640532 -1.55834492 -1.55372194 -1.40589587
 -1.24778934 -1.09038076 -0.97355518 -0.91151195 -0.86750428 -0.82746167
 -0.79332033 -0.75285864 -0.6767238  -0.6459917  -0.59208438 -0.54126515
 -0.49365137 -0.42380347 -0.39588984 -0.33956746 -0.31570683 -0.27406607
 -0.2314007  -0.19129838 -0.15379614 -0.11722136 -0.09837247 -0.05082198]",x-position of midpoint of spar cap on lower surface for strain calculation
rotorse.yu_spar,,"[-2.24984856  1.3546204   1.05737977  0.23718151  0.07785775 -0.07482896
 -0.17813722 -0.25115839 -0.28886112 -0.29287091 -0.2991924  -0.31174956
 -0.32221842 -0.33857098 -0.34468739 -0.31554287 -0.29988174 -0.26090405
 -0.22015776  0.0851695  -0.17446651  0.10150959 -0.09867846 -0.07958256
 -0.06059522 -0.04521579 -0.03194165 -0.01897653 -0.00962808  0.00568652]",y-position of midpoint of spar cap on upper surface for strain calculation
rotorse.yl_spar,,"[-2.24984856 -1.32846359 -1.28969243 -1.58019396 -1.30171801 -1.05579067
 -0.8468524  -0.68094115 -0.59362691 -0.57438922 -0.56788697 -0.56868249
 -0.56884013 -0.56928659 -0.52677834 -0.47821273 -0.42809608 -0.36279131
 -0.30104466  0.02180798 -0.21942125  0.0727695  -0.10756848 -0.07164248
 -0.04112544 -0.02074834 -0.00719647  0.00251465  0.00880398  0.01538152]",y-position of midpoint of spar cap on lower surface for strain calculation
rotorse.xu_te,,"[ 0.01845476  0.02338109  0.80085571  0.73649715  0.70087605  0.61790706
  0.50824181  0.39878153  0.33176843  0.32783681  0.32932283  0.32705287
  0.32280885  0.30865326  0.26093927  0.22799968  0.18732299  0.1542438
  0.12495388  0.09712186  0.07669789  0.04169493  0.01040648 -0.02165422
 -0.04655849 -0.06134886 -0.06972264 -0.06404378 -0.06162383 -0.00757616]",x-position of midpoint of trailing-edge panel on upper surface for strain calculation
rotorse.xl_te,,"[ 0.01845476  0.02338109 -0.31512499  0.18298238  0.31110318  0.30001185
  0.23326136  0.17899708  0.15233344  0.1675753   0.18185707  0.1903673
  0.1951934   0.1903623   0.15693293  0.14323153  0.11281939  0.08909007
  0.06857776  0.04905434  0.03651676  0.00918696 -0.01536286 -0.04169742
 -0.06027818 -0.07073835 -0.07393051 -0.07041106 -0.06748895 -0.00757616]",x-position of midpoint of trailing-edge panel on lower surface for strain calculation
rotorse.yu_te,,"[-2.24984856 -2.24539214  2.16375678  2.37013117  2.40799993  2.40900951
  2.41725618  2.41943464  2.40320986  2.37625691  2.34390223  2.30552073
  2.26890684  2.22769875  2.11709617  2.15982365  2.07580588  1.99801188
  1.90897861  1.80145343  1.64313609  1.5428961   1.39850517  1.24762274
  1.0935849   0.92859103  0.76891375  0.5752098   0.46075517 -0.24073294]",y-position of midpoint of trailing-edge panel on upper surface for strain calculation
rotorse.yl_te,,"[-2.24984856 -2.24539214  2.01415201  2.27443319  2.35333312  2.37844956
  2.40289229  2.4156955   2.40290782  2.37562627  2.34327674  2.30471803
  2.26776578  2.22632694  2.11646229  2.15952687  2.07643997  1.99935838
  1.91079054  1.80353215  1.64533674  1.54514029  1.40078185  1.24972123
  1.0954126   0.93017982  0.75641191  0.57665366  0.46216833 -0.24073294]",y-position of midpoint of trailing-edge panel on lower surface for strain calculation
rotorse.rs.tip_pos.dx_tip,m,[15.17171897],deflection at tip in blade x-direction
rotorse.rs.tip_pos.dy_tip,m,[-3.61783262],deflection at tip in blade y-direction
rotorse.rs.tip_pos.dz_tip,m,[-0.00213044],deflection at tip in blade z-direction
rotorse.rs.tip_pos.3d_curv_tip,deg,[8.59927983],total coning angle including precone and curvature
rotorse.rs.tip_pos.dynamicFactor,,[1.],a dynamic amplification factor to adjust the static deflection calculation
rotorse.rs.aero_hub_loads.V_load,m/s,[18.18002515],
rotorse.rs.aero_hub_loads.nSector,Unavailable,4,
rotorse.rs.constr.strainU_spar,,"[ 3.36280508e-04 -1.03264720e-03 -1.34742566e-03 -1.77436105e-03
 -2.17557587e-03 -2.47061789e-03 -2.56706414e-03 -2.64609724e-03
 -2.71291296e-03 -2.71237489e-03 -2.66557939e-03 -2.62242598e-03
 -2.56201851e-03 -2.52984426e-03 -2.39871656e-03 -2.45818849e-03
 -2.41075236e-03 -2.34560742e-03 -2.26645420e-03 -1.98476415e-03
 -1.41870693e-03 -1.80066618e-03 -1.83966874e-03 -1.70285881e-03
 -1.61537942e-03 -1.48003723e-03 -1.26003776e-03 -9.27576941e-04
 -7.59221407e-04  1.75536656e-06]","strain in spar cap on upper surface at location xu,yu_strain with loads P_strain"
rotorse.rs.constr.strainL_spar,,"[ 3.36280508e-04  9.81352619e-04  1.36785839e-03  1.35585800e-03
  1.88566964e-03  2.34448912e-03  2.51564507e-03  2.63591897e-03
  2.65669391e-03  2.57228829e-03  2.48338038e-03  2.40948919e-03
  2.33221964e-03  2.30307981e-03  2.22441278e-03  2.30219854e-03
  2.31552648e-03  2.30906323e-03  2.29552203e-03  2.28657055e-03
  1.44594175e-03  2.18594204e-03  2.12517613e-03  2.04881626e-03
  1.98974200e-03  1.86775395e-03  1.63927983e-03  1.25868922e-03
  1.14051289e-03 -2.83384970e-06]","strain in spar cap on lower surface at location xl,yl_strain with loads P_strain"
rotorse.rs.constr.strainU_te,,"[ 3.36280508e-04 -3.24695998e-04 -6.00042725e-04 -3.49149957e-04
  1.30917503e-07  2.00870091e-04  3.10124960e-04  3.39647985e-04
  4.13398594e-04  5.01995347e-04  4.51159298e-04  3.86186434e-04
  3.28609068e-04  2.83496901e-04  2.05376351e-04  3.57026505e-04
  3.47762189e-04  3.84615025e-04  4.22181766e-04  4.51193791e-04
  3.31498915e-04  4.75432993e-04  4.64244767e-04  4.54095940e-04
  4.85684596e-04  5.12720825e-04  5.32579339e-04  4.30988781e-04
  4.10790622e-04 -1.92977681e-06]","strain in trailing edge on upper surface at location xu,yu_strain with loads P_strain"
rotorse.rs.constr.strainL_te,,"[ 3.36280508e-04 -3.24695998e-04  2.37448704e-04  2.35740361e-04
  6.13759133e-04  8.74509778e-04  9.86022800e-04  9.60079544e-04
  9.76207825e-04  1.02761282e-03  9.43176535e-04  8.50937264e-04
  7.67015757e-04  7.05938051e-04  5.97612948e-04  7.00647069e-04
  6.73898862e-04  6.91363118e-04  7.07784641e-04  7.13218309e-04
  4.89096146e-04  6.83782172e-04  6.43105258e-04  6.06522989e-04
  6.04604084e-04  6.04583414e-04  5.80909871e-04  4.99031531e-04
  4.78454989e-04 -1.92977681e-06]","strain in trailing edge on lower surface at location xl,yl_strain with loads P_strain"
rotorse.rs.constr.max_strainU_spar,,[0.004],maximum strain in spar cap suction side
rotorse.rs.constr.max_strainL_spar,,[0.004],maximum strain in spar cap pressure side
rotorse.rs.constr.max_strainU_te,,[0.004],maximum strain in spar cap suction side
rotorse.rs.constr.max_strainL_te,,[0.004],maximum strain in spar cap pressure side
rotorse.rs.constr.s_opt_spar_cap_ss,,"[0.         0.03448276 0.06896552 0.10344828 0.13793103 0.17241379
 0.20689655 0.24137931 0.27586207 0.31034483 0.34482759 0.37931034
 0.4137931  0.44827586 0.48275862 0.51724138 0.55172414 0.5862069
 0.62068966 0.65517241 0.68965517 0.72413793 0.75862069 0.79310345
 0.82758621 0.86206897 0.89655172 0.93103448 0.96551724 1.        ]",1D array of the non-dimensional spanwise grid defined along blade axis to optimize the blade spar cap suction side
rotorse.rs.constr.s_opt_spar_cap_ps,,"[0.         0.03448276 0.06896552 0.10344828 0.13793103 0.17241379
 0.20689655 0.24137931 0.27586207 0.31034483 0.34482759 0.37931034
 0.4137931  0.44827586 0.48275862 0.51724138 0.55172414 0.5862069
 0.62068966 0.65517241 0.68965517 0.72413793 0.75862069 0.79310345
 0.82758621 0.86206897 0.89655172 0.93103448 0.96551724 1.        ]",1D array of the non-dimensional spanwise grid defined along blade axis to optimize the blade spar cap pressure side
